2026-03-04 15:08:33.572994 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\10th mark sheet.pdf -> C:\Users\vivek\Downloads\articles\10th mark sheet.pdf
2026-03-04 15:08:33.576988 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\10th.jpg -> C:\Users\vivek\Downloads\images\10th.jpg
2026-03-04 15:08:33.580021 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\211696_Limits_Paper.pdf -> C:\Users\vivek\Downloads\blog\211696_Limits_Paper.pdf
2026-03-04 15:08:33.582981 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\211696_Limits_Sol.pdf -> C:\Users\vivek\Downloads\articles\211696_Limits_Sol.pdf
2026-03-04 15:08:33.586003 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\2501.00663v1.pdf -> C:\Users\vivek\Downloads\articles\2501.00663v1.pdf
2026-03-04 15:08:33.590019 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\591.74-notebook-win10-win11-64bit-international-nsd-dch-whql.exe -> C:\Users\vivek\Downloads\installers\591.74-notebook-win10-win11-64bit-international-nsd-dch-whql.exe
2026-03-04 15:08:33.592010 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\activity.png -> C:\Users\vivek\Downloads\images\activity.png
2026-03-04 15:08:33.593982 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\activity1.png -> C:\Users\vivek\Downloads\images\activity1.png
2026-03-04 15:08:33.595996 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Antigravity.exe -> C:\Users\vivek\Downloads\installers\Antigravity.exe
2026-03-04 15:08:33.598033 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\API.docx -> C:\Users\vivek\Downloads\articles\API.docx
2026-03-04 15:08:33.600983 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\best_titan_mag_model.pth -> C:\Users\vivek\Downloads\others\best_titan_mag_model.pth
2026-03-04 15:08:33.604021 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Blockchain_output.pdf -> C:\Users\vivek\Downloads\email\Blockchain_output.pdf
2026-03-04 15:08:33.606020 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Cardiovascular_Disease_Dataset.csv -> C:\Users\vivek\Downloads\others\Cardiovascular_Disease_Dataset.csv
2026-03-04 15:08:33.608027 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\cc_full_journal.docx -> C:\Users\vivek\Downloads\email\cc_full_journal.docx
2026-03-04 15:08:33.609993 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\cc_full_journal.pdf -> C:\Users\vivek\Downloads\articles\cc_full_journal.pdf
2026-03-04 15:08:33.612982 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\ChatGPT Image Dec 30, 2025, 03_14_50 PM.png -> C:\Users\vivek\Downloads\images\ChatGPT Image Dec 30, 2025, 03_14_50 PM.png
2026-03-04 15:08:33.614991 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\client_secret_1092791614836-4l8bpbfjthm0sp0hvg6tjbk4uor163uo.apps.googleusercontent.com.json -> C:\Users\vivek\Downloads\others\client_secret_1092791614836-4l8bpbfjthm0sp0hvg6tjbk4uor163uo.apps.googleusercontent.com.json
2026-03-04 15:08:33.616988 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\client_secret_1092791614836-c2178evqdouur3baet76hbtlvedrc2uf.apps.googleusercontent.com.json -> C:\Users\vivek\Downloads\others\client_secret_1092791614836-c2178evqdouur3baet76hbtlvedrc2uf.apps.googleusercontent.com.json
2026-03-04 15:08:33.618984 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Conference-template-A4.doc -> C:\Users\vivek\Downloads\others\Conference-template-A4.doc
2026-03-04 15:08:33.622992 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\CPMppt.pptx_20260212_092133_0000.pdf -> C:\Users\vivek\Downloads\legal\CPMppt.pptx_20260212_092133_0000.pdf
2026-03-04 15:08:33.624987 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\CRM-Deepak_Vishwakarma.pdf -> C:\Users\vivek\Downloads\legal\CRM-Deepak_Vishwakarma.pdf
2026-03-04 15:08:33.626022 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\dataset.csv -> C:\Users\vivek\Downloads\others\dataset.csv
2026-03-04 15:08:33.628044 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\dfd level 1.png -> C:\Users\vivek\Downloads\images\dfd level 1.png
2026-03-04 15:08:33.629995 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\dfd0.png -> C:\Users\vivek\Downloads\images\dfd0.png
2026-03-04 15:08:33.631982 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\dfd1.png -> C:\Users\vivek\Downloads\images\dfd1.png
2026-03-04 15:08:33.633982 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\download.pdf -> C:\Users\vivek\Downloads\articles\download.pdf
